segment,scene,frames,seconds,seed,ref_order
S03a,3,362,15.083,7301,"assets/characters/Gemini_Generated_Image_6rilce6rilce6ril.jpg|assets/characters/cadi Design Sheet.jpg"
S03b,3,362,15.083,7301,"assets/characters/Gemini_Generated_Image_6rilce6rilce6ril.jpg|assets/characters/cadi Design Sheet.jpg"
seg01-a,1,362,15.083,7101,"assets/characters/Gemini_Generated_Image_6rilce6rilce6ril.jpg"
seg01-b,1,362,15.083,7101,"assets/characters/Gemini_Generated_Image_6rilce6rilce6ril.jpg"
seg02-a,2,362,15.083,7201,"assets/characters/heroine-photo-reference-v01.png"
seg02-b,2,362,15.083,7201,"assets/software/teams-ui-reference-v01.png|assets/software/phone-home-reference-v01.png"
seg04-b,4,,8,7401,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi Design Sheet.jpg||"
seg04-c,4,362,15.083,7401,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi Design Sheet.jpg||"
seg05-a,5,,14,7501,"assets/characters/cadi Design Sheet.jpg|assets/characters/agent2-hapa.png"
seg05-b,5,,12,7501,"assets/characters/cadi Design Sheet.jpg|assets/characters/agent1-hana.png"
seg06-a,6,,15,7601,"assets/characters/cadi_red.png|assets/characters/agent3-drop.png|assets/characters/agent2-hapa.png|assets/characters/agent1-hana.png|assets/environments/純白房間.png"
seg06-b,6,,15,7601,"assets/characters/cadi_red.png|assets/characters/agent3-drop.png|assets/environments/純白房間.png"
seg07-a,7,,14,7701,assets/characters/cadi_red.png|assets/characters/agent3-drop.png
seg07-b,7,,12,7701,assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/characters/agent3-drop.png
seg12-a-v02,12,,12,8201,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/characters/agent5-ray.png|assets/placement/Screenshot 2026-09-22 165319.png|assets/placement/bottom view 3_1.png"
seg12-b-v02,12,,13,8201,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/placement/Screenshot 2026-09-22 165319.png|assets/placement/bottom view- rib not yet.png|assets/placement/bottom view- rib done.png"
seg12-c-v01,12,,12,8201,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/placement/Screenshot 2026-09-22 165319.png|assets/placement/bottom view- rib done.png"
seg12-d-v01,12,,7,8201,"assets/characters/heroine-photo-reference-v01.png"
seg12-a-v03,12,,12,8201,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/characters/agent5-ray.png|assets/placement/Screenshot 2026-09-22 165319.png"
seg12-b-v03,12,,13,8201,"assets/characters/heroine-photo-reference-v01.png|assets/characters/cadi_red.png|assets/placement/rib-not-yet-crop-v01.png|assets/placement/rib-done-crop-v01.png"
seg12-b-v04,12,,13,8201,"segments/SEG-12/a-ending-ref.png|assets/placement/rib-done-crop-v01.png"
